Timestamp,What is your age range?,What is your income range?,What is your gender?,What is your nationality?,Which brand of mobile phone do you currently use?,How long have you had your current mobile phone?,How often do you typically replace your mobile phone?,Are you in a contract that prevents you from keeping your mobile phone for longer?,"Have you ever had a mobile device repaired (screen, battery, charging port, etc.)?",Where did you have it repaired?,What types of repair(s) have you had done? (select all that apply),"If you didn’t repair your device when it broke, what was the main reason? (Select up to 2)",How easy do you think it is to have a mobile phone repaired in your area?,Which of the following factors would most increase your likelihood of repairing your phone instead of replacing it? (Select up to 2),How much would you be willing to pay for a repair compared to the cost of replacing your phone with a new one?,Do you believe manufacturers intentionally make devices more difficult to repair?,How important is it to you that future devices are designed to be repairable?,"Have you heard of the ""Right to Repair"" movement?",Do you support legislation requiring manufacturers to make spare parts and manuals available for independent repair?,"If mobile devices were easier and cheaper to repair, how likely would you be to keep your device longer before replacing it?"
2025/11/18 3:50:06 PM PST,18-24,"Under $60,000",Female,Vietnam,iPhone,1-2 years,Every 3-4 years,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Battery replacement;Repair from liquid damage,Didn’t know where to get it repaired;Was told repair was not possible,Somewhat easy,"Easier access to repair services (e.g., local shops, mail-in repair);Guaranteed repair quality (e.g., warranty on parts or service)",10-25% of the replacement cost,Yes,Somewhat important,No,Strongly support,Somewhat more likely
2025/11/18 4:11:51 PM PST,25-34,"Under $60,000",Male,Canada,Samsung,4-5 years,Every 3-4 years,No,No,,,Other,Somewhat easy,"Guaranteed repair quality (e.g., warranty on parts or service);Availability of official spare parts and manuals",10-25% of the replacement cost,Yes,Very important,Yes,Strongly support,Somewhat more likely
2025/11/18 4:34:00 PM PST,18-24,"Under $60,000",Other,Canada,iPhone,1-2 years,Every 3-4 years,Not sure,Yes,"Official manufacturer (Apple, Samsung, etc.)",Battery replacement;Other,Took too long or was inconvenient,Somewhat easy,"Lower repair costs;Guaranteed repair quality (e.g., warranty on parts or service)",Less than 10% of the replacement cost,Yes,Very important,No,Somewhat support,Much more likely
2025/11/19 11:13:29 AM PST,18-24,"Under $60,000",Male,Canada,Samsung,1-2 years,Every 3-4 years,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Battery replacement,Was told repair was not possible;Took too long or was inconvenient,Somewhat easy,Lower repair costs;Availability of official spare parts and manuals,10-25% of the replacement cost,Yes,Extremely important,Yes,Strongly support,Much more likely
2025/11/19 11:19:27 AM PST,25-34,"Under $60,000",Male,Canada,iPhone,1-2 years,Every 3-4 years,Not sure,No,,,Other,Very easy,Lower repair costs,Less than 10% of the replacement cost,Yes,Extremely important,Yes,Strongly support,Much more likely
2025/11/19 12:58:14 PM PST,25-34,"Under $60,000",Male,Canada,Google,1-2 years,Only when it stops working,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement;Battery replacement;Other,Took too long or was inconvenient;Concerned about warranty or reliability of repair,Very difficult,"Guaranteed repair quality (e.g., warranty on parts or service);Same day pick-up",10-25% of the replacement cost,Yes,Somewhat important,Yes,Strongly support,Much more likely
2025/11/19 2:04:49 PM PST,18-24,"Under $60,000",Male,India,Other,3-4 years,Only when it stops working,No,Yes,Independent repair shop,Other,Repair was too expensive;Didn’t know where to get it repaired,Somewhat easy,"Lower repair costs;Easier access to repair services (e.g., local shops, mail-in repair)",Less than 10% of the replacement cost,Yes,Somewhat important,No,Somewhat support,Somewhat more likely
2025/11/19 3:46:18 PM PST,18-24,"$100,000-$150,000",Male,Mexico,iPhone,Less than 1 year,Every year,No,No,,,Wanted a newer model,Very easy,Same day pick-up,I would replace the phone regardless of cost,Unsure,Not important,No,Neutral,No difference
2025/11/19 3:46:36 PM PST,25-34,"$60,000-$100,000",Male,Canada,iPhone,More than 5 years,Only when it stops working,No,No,,,Was told repair was not possible,Very difficult,"Easier access to repair services (e.g., local shops, mail-in repair);Availability of official spare parts and manuals",Less than 10% of the replacement cost,Yes,Very important,No,Strongly support,Much more likely
2025/11/21 11:36:03 AM PST,18-24,"Under $60,000",Female,Canada,iPhone,2-3 years,Only when it stops working,No,Yes,Independent repair shop,Screen replacement;Repair from liquid damage,Repair was too expensive;Was told repair was not possible,Somewhat easy,"Lower repair costs;Guaranteed repair quality (e.g., warranty on parts or service)",10-25% of the replacement cost,Unsure,Very important,No,Neutral,Much more likely
2025/11/21 11:36:21 AM PST,18-24,"Under $60,000",Female,Canada,iPhone,1-2 years,Every 3-4 years,No,Yes,Independent repair shop,Screen replacement;Battery replacement,Took too long or was inconvenient;Concerned about warranty or reliability of repair,Very easy,Lower repair costs;Availability of official spare parts and manuals,Less than 10% of the replacement cost,Yes,Somewhat important,No,Neutral,Much more likely
2025/11/21 11:36:38 AM PST,18-24,"Under $60,000",Male,China,Samsung,4-5 years,Only when it stops working,No,No,,,Was told repair was not possible;Took too long or was inconvenient,Somewhat easy,"Guaranteed repair quality (e.g., warranty on parts or service);Same day pick-up",10-25% of the replacement cost,Yes,Very important,No,Strongly support,Much more likely
2025/11/21 11:38:48 AM PST,25-34,"Under $60,000",Male,India,iPhone,1-2 years,Every 2 years,No,No,,,Other,Very easy,"Lower repair costs;Easier access to repair services (e.g., local shops, mail-in repair)",10-25% of the replacement cost,Unsure,Very important,No,Strongly support,No difference
2025/11/21 11:43:49 AM PST,55+,"Under $60,000",Female,China,Samsung,4-5 years,Only when it stops working,No,Yes,Independent repair shop,Screen replacement,Other,Very easy,"Easier access to repair services (e.g., local shops, mail-in repair);Guaranteed repair quality (e.g., warranty on parts or service)",10-25% of the replacement cost,Yes,Very important,No,Strongly support,Much more likely
2025/11/21 11:46:30 AM PST,45-54,"$100,000-$150,000",Male,China,Samsung,More than 5 years,Every 3-4 years,No,Yes,Independent repair shop,Screen replacement;Battery replacement,Took too long or was inconvenient;Concerned about warranty or reliability of repair,Somewhat difficult,"Guaranteed repair quality (e.g., warranty on parts or service);Availability of official spare parts and manuals",Less than 10% of the replacement cost,Yes,Somewhat important,No,Somewhat support,Somewhat more likely
2025/11/21 11:50:24 AM PST,18-24,"Under $60,000",Male,Egypt,Other,2-3 years,Every 3-4 years,No,Yes,Independent repair shop,Battery replacement;Repair from liquid damage,Didn’t know where to get it repaired;Concerned about warranty or reliability of repair,Somewhat easy,"Lower repair costs;Guaranteed repair quality (e.g., warranty on parts or service)",25-50% of the replacement cost,Yes,Somewhat important,No,Strongly support,Much more likely
2025/11/21 11:53:44 AM PST,55+,"$60,000-$100,000",Female,China,Google,Less than 1 year,Every 2 years,Yes,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement;Battery replacement,Repair was too expensive;Didn’t know where to get it repaired,Very easy,"Guaranteed repair quality (e.g., warranty on parts or service);Same day pick-up",10-25% of the replacement cost,Yes,Not important,No,Neutral,No difference
2025/11/21 12:46:36 PM PST,18-24,"Under $60,000",Female,Canada,iPhone,Less than 1 year,Every 3-4 years,Yes,No,,,Other,Somewhat easy,Lower repair costs,25-50% of the replacement cost,Yes,Very important,No,Strongly support,Much more likely
2025/11/21 12:51:01 PM PST,18-24,"Under $60,000",Male,Canada,iPhone,4-5 years,Only when it stops working,No,No,,,Took too long or was inconvenient,Unsure,"Guaranteed repair quality (e.g., warranty on parts or service)",I would replace the phone regardless of cost,Unsure,Somewhat important,No,Neutral,I already keep my devices for a long time
2025/11/21 1:06:47 PM PST,18-24,"Under $60,000",Male,Canada,iPhone,3-4 years,Only when it stops working,No,Yes,Other,Other,Other,Unsure,Same day pick-up;,Less than 10% of the replacement cost,Unsure,Extremely important,No,Strongly support,No difference
2025/11/21 1:15:16 PM PST,25-34,"$100,000-$150,000",Female,Canada,iPhone,1-2 years,Every 2 years,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Other,Other,Very easy,"Lower repair costs;Guaranteed repair quality (e.g., warranty on parts or service)",10-25% of the replacement cost,Yes,Not important,No,Neutral,Somewhat more likely
2025/11/21 1:24:40 PM PST,25-34,"$60,000-$100,000",Male,Canada,iPhone,1-2 years,Only when it stops working,No,Yes,Independent repair shop,Screen replacement,Repair was too expensive,Somewhat easy,Lower repair costs;Same day pick-up,25-50% of the replacement cost,No,Somewhat important,No,Strongly support,Much more likely
2025/11/21 1:25:55 PM PST,25-34,"$100,000-$150,000",Male,Canada,iPhone,2-3 years,Every 3-4 years,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement;Battery replacement,Concerned about warranty or reliability of repair,Somewhat easy,"Guaranteed repair quality (e.g., warranty on parts or service);Same day pick-up",10-25% of the replacement cost,Yes,Extremely important,Yes,Strongly support,Much more likely
2025/11/21 4:26:41 PM PST,25-34,"$100,000-$150,000",Male,Canada,Samsung,1-2 years,Only when it stops working,No,Yes,Independent repair shop,Screen replacement;Battery replacement;Repair from liquid damage,Repair was too expensive,Very easy,Lower repair costs;Availability of official spare parts and manuals,10-25% of the replacement cost,Yes,Somewhat important,Yes,Strongly support,Much more likely
2025/11/22 7:47:34 AM PST,25-34,"$60,000-$100,000",Male,Canada,Samsung,Less than 1 year,Only when it stops working,No,No,,,Took too long or was inconvenient,Somewhat easy,Same day pick-up,10-25% of the replacement cost,Yes,Somewhat important,No,Somewhat support,I already keep my devices for a long time
2025/11/22 12:34:43 PM PST,25-34,"Under $60,000",Female,Canada,iPhone,Less than 1 year,Only when it stops working,No,Yes,"Official manufacturer (Apple, Samsung, etc.)",Screen replacement;Battery replacement,Repair was too expensive;Was told repair was not possible,Somewhat easy,"Lower repair costs;Guaranteed repair quality (e.g., warranty on parts or service)",10-25% of the replacement cost,Yes,Very important,No,Somewhat support,Much more likely
