Location,Crash Type,Month,Municipality,Year,CrashCount,Latitude,Longitude
BROOKSBANK AVE & COTTON RD & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2019,2,49.307057,-123.040407
CLOVERLEY ST & E KEITH RD,Casualty,April    ,NORTH VANCOUVER,2019,2,49.313364,-123.046112
PHILIP AVE & W 1ST ST,Casualty,April    ,NORTH VANCOUVER,2019,2,49.316573,-123.113659
FELL AVE & MARINE DR & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2019,2,49.321159,-123.094648
MACKAY AVE & MARINE DR,Casualty,April    ,NORTH VANCOUVER,2019,2,49.32359,-123.10122
MARINE DR & PHILIP AVE,Casualty,April    ,NORTH VANCOUVER,2019,2,49.323893,-123.113368
GARDEN AVE & MARINE DR,Casualty,April    ,NORTH VANCOUVER,2019,2,49.323939,-123.118907
E 17TH ST & LONSDALE AVE & W 17TH ST,Casualty,April    ,NORTH VANCOUVER,2019,2,49.324144,-123.072267
BEWICKE AVE & W 2ND ST,Casualty,April    ,NORTH VANCOUVER,2019,3,49.319051,-123.091577
BOULEVARD CRES & E 21ST ST & GRAND BLVD OFFRAMP & GRAND BLVD ONRAMP & LYNN VALLEY RD & LYNN VALLEY RD ONRAMP & TRANS-CANADA HWY & WILLIAM AVE OFFRAMP & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2019,3,49.328871,-123.053569
E 25TH ST & E 25TH ST OFFRAMP & E 25TH ST ONRAMP & LONSDALE AVE & LONSDALE AVE OFFRAMP & LONSDALE AVE ONRAMP & TRANS-CANADA HWY & W 25TH ST & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2019,4,49.331967,-123.072107
MOSQUITO CREEK BRIDGE & TRANS-CANADA HWY & WESTVIEW DR & WESTVIEW DR OFFRAMP & WESTVIEW DR ONRAMP & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2019,5,49.33199,-123.088135
DOLLARTON HWY & DOLLARTON HWY OFFRAMP & DOLLARTON HWY ONRAMP & IRONWORKERS MEMORIAL BRIDGE & MAIN ST & MAIN ST OFFRAMP & MAIN ST ONRAMP & OXFORD ST & PHIBBS EXCHANGE & TRANS-CANADA HWY & EMERGENCY LANE & HIGHWAY RAMP & TURNING LANE,Casualty,April    ,NORTH VANCOUVER,2019,15,49.304852,-123.027413
AMHERST AVE & DOLLARTON HWY & OLD DOLLARTON RD,Casualty,August   ,NORTH VANCOUVER,2019,1,49.305382,-123.018888
FRONT ST & OLD DOLLARTON RD,Casualty,August   ,NORTH VANCOUVER,2019,1,49.306216,-123.018478
CARRIE CATES CRT & LONSDALE AVE,Casualty,August   ,NORTH VANCOUVER,2019,1,49.310394,-123.080177
E ESPLANADE & LONSDALE AVE & W ESPLANADE,Casualty,August   ,NORTH VANCOUVER,2019,1,49.311047,-123.079495
MT SEYMOUR PKY & SEYMOUR BLVD & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2019,1,49.311704,-123.021179
BROOKSBANK AVE & E KEITH RD & HEYWOOD ST & MOUNTAIN HWY,Casualty,August   ,NORTH VANCOUVER,2019,1,49.313299,-123.040514
APEX AVE & MT SEYMOUR PKY,Casualty,August   ,NORTH VANCOUVER,2019,1,49.31562,-122.980213
FELL AVE & W 1ST ST,Casualty,August   ,NORTH VANCOUVER,2019,1,49.318039,-123.094731
E 13TH ST & GRAND BLVD W,Casualty,August   ,NORTH VANCOUVER,2019,1,49.319815,-123.057599
E 15TH ST & GRAND BLVD W,Casualty,August   ,NORTH VANCOUVER,2019,1,49.321867,-123.057545
CHESTERFIELD AVE & W 15TH ST,Casualty,August   ,NORTH VANCOUVER,2019,1,49.322105,-123.075502
PEMBERTON AVE & W 16TH ST,Casualty,August   ,NORTH VANCOUVER,2019,1,49.32294,-123.107795
FIR ST & LARSON RD & WESTVIEW DR,Casualty,August   ,NORTH VANCOUVER,2019,1,49.325164,-123.089494
BOULEVARD CRES & E 19TH ST & GRAND BLVD E,Casualty,August   ,NORTH VANCOUVER,2019,1,49.32606,-123.056239
E 20TH ST & KIRKSTONE RD & MOUNTAIN HWY,Casualty,August   ,NORTH VANCOUVER,2019,1,49.327144,-123.038238
JONES AVE & W 20TH ST,Casualty,August   ,NORTH VANCOUVER,2019,1,49.327365,-123.081524
E 27TH ST & LONSDALE AVE & W 27TH ST,Casualty,August   ,NORTH VANCOUVER,2019,1,49.334123,-123.072045
E 29TH ST & FROMME RD,Casualty,August   ,NORTH VANCOUVER,2019,1,49.335494,-123.043831
ARBORLYNN DR & MOUNTAIN HWY,Casualty,August   ,NORTH VANCOUVER,2019,2,49.317043,-123.036063
MARINE DR & PEMBERTON AVE,Casualty,August   ,NORTH VANCOUVER,2019,2,49.323845,-123.107769
JONES AVE & LARSON CRES & W 23RD ST,Casualty,August   ,NORTH VANCOUVER,2019,2,49.330354,-123.081515
E KEITH RD & LILLOOET RD & LILLOOET RD OFFRAMP & MT SEYMOUR PKY ONRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2019,3,49.311437,-123.028213
CAPILANO RD & MARINE DR & MATHIAS RD & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2019,4,49.324292,-123.122442
MOUNTAIN HWY & MOUNTAIN HWY OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2019,5,49.31564,-123.037579
MOSQUITO CREEK BRIDGE & TRANS-CANADA HWY & WESTVIEW DR & WESTVIEW DR OFFRAMP & WESTVIEW DR ONRAMP & TURNING LANE,Casualty,August   ,NORTH VANCOUVER,2019,5,49.33199,-123.088135
MAIN ST & MOUNTAIN HWY,Casualty,December ,NORTH VANCOUVER,2019,1,49.305167,-123.032063
MOUNTAIN HWY & OXFORD ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.306171,-123.032033
E 1ST ST & ST ANDREWS AVE,Casualty,December ,NORTH VANCOUVER,2019,1,49.309242,-123.072586
SPIRIT TRAIL & ST GEORGES AVE & VICTORY SHIP WAY & INSTITUTIONAL ACCESS ROAD,Casualty,December ,NORTH VANCOUVER,2019,1,49.30931,-123.076881
E 3RD ST & ST GEORGES AVE,Casualty,December ,NORTH VANCOUVER,2019,1,49.312105,-123.074018
CLOVERLEY ST & E KEITH RD,Casualty,December ,NORTH VANCOUVER,2019,1,49.313364,-123.046112
FORBES AVE & MAHON AVE & W ESPLANADE,Casualty,December ,NORTH VANCOUVER,2019,1,49.31374,-123.085662
CHESTERFIELD AVE & W 3RD ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.314795,-123.080147
FAIRWAY DR & MT SEYMOUR PKY,Casualty,December ,NORTH VANCOUVER,2019,1,49.315876,-122.957335
PEMBERTON AVE & W 1ST ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.316992,-123.107926
FORBES AVE & W 3RD ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.317265,-123.085826
E 13TH ST & MOODY AVE,Casualty,December ,NORTH VANCOUVER,2019,1,49.31984,-123.060025
E 14TH ST & LONSDALE AVE,Casualty,December ,NORTH VANCOUVER,2019,1,49.321018,-123.072348
LLOYD AVE & W 14TH ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.321105,-123.104994
FELL AVE & MARINE DR & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2019,1,49.321159,-123.094648
E 15TH ST & GRAND BLVD W,Casualty,December ,NORTH VANCOUVER,2019,1,49.321867,-123.057545
CHESTERFIELD AVE & W 16TH ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.323129,-123.075468
FELL AVE & W 16TH ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.323237,-123.094577
BEWICKE AVE & LARSON RD & W 16TH ST & W 17TH ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.324341,-123.09107
E 18TH ST & LONSDALE AVE & W 18TH ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.325178,-123.07224
CAPILANO RD & CURLING RD,Casualty,December ,NORTH VANCOUVER,2019,1,49.325219,-123.121453
E 23RD ST & LONSDALE AVE & W 23RD ST,Casualty,December ,NORTH VANCOUVER,2019,1,49.330237,-123.072132
LYNN VALLEY RD & WILLIAM AVE,Casualty,December ,NORTH VANCOUVER,2019,1,49.330485,-123.050554
LYNN VALLEY RD & MOUNTAIN HWY & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2019,1,49.337044,-123.038214
CAPILANO RD & EDGEMONT BLVD,Casualty,December ,NORTH VANCOUVER,2019,1,49.343933,-123.112187
HIGHLAND BLVD & SUNNYCREST DR,Casualty,December ,NORTH VANCOUVER,2019,1,49.345417,-123.094116
GLENCANYON DR & MONTROYAL BLVD,Casualty,December ,NORTH VANCOUVER,2019,1,49.352563,-123.083218
E ESPLANADE & LONSDALE AVE & W ESPLANADE,Casualty,December ,NORTH VANCOUVER,2019,2,49.311047,-123.079495
E 5TH ST & ST GEORGES AVE,Casualty,December ,NORTH VANCOUVER,2019,2,49.313757,-123.072307
CHESTERFIELD AVE & W 2ND ST,Casualty,December ,NORTH VANCOUVER,2019,2,49.314018,-123.080955
CAPILANO RD & MARINE DR & MATHIAS RD & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2019,2,49.324292,-123.122442
HAMILTON AVE & MARINE DR & W 16TH ST & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2019,4,49.323112,-123.100131
E 25TH ST & E 25TH ST OFFRAMP & E 25TH ST ONRAMP & LONSDALE AVE & LONSDALE AVE OFFRAMP & LONSDALE AVE ONRAMP & TRANS-CANADA HWY & W 25TH ST & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2019,5,49.331967,-123.072107
DOLLARTON HWY & DOLLARTON HWY OFFRAMP & DOLLARTON HWY ONRAMP & IRONWORKERS MEMORIAL BRIDGE & MAIN ST & MAIN ST OFFRAMP & MAIN ST ONRAMP & OXFORD ST & PHIBBS EXCHANGE & TRANS-CANADA HWY & EMERGENCY LANE & HIGHWAY RAMP & TURNING LANE,Casualty,December ,NORTH VANCOUVER,2019,19,49.304852,-123.027413
FERN ST & MOUNTAIN HWY,Casualty,February ,NORTH VANCOUVER,2019,1,49.311494,-123.032601
LILLOOET RD & MT SEYMOUR PKY & TURNING LANE,Casualty,February ,NORTH VANCOUVER,2019,1,49.31237,-123.025305
LYNN CREEK BRIDGE & TRANS-CANADA HWY,Casualty,February ,NORTH VANCOUVER,2019,1,49.313783,-123.032641
FORBES AVE & W 1ST ST & W ESPLANDE LANE,Casualty,February ,NORTH VANCOUVER,2019,1,49.314709,-123.085936
E KEITH RD & LONSDALE AVE & W KEITH RD,Casualty,February ,NORTH VANCOUVER,2019,1,49.316466,-123.073958
FELL AVE & W 1ST ST,Casualty,February ,NORTH VANCOUVER,2019,1,49.318039,-123.094731
CHESTERFIELD AVE & W KEITH RD,Casualty,February ,NORTH VANCOUVER,2019,1,49.318091,-123.076803
E 15TH ST & GRAND BLVD E,Casualty,February ,NORTH VANCOUVER,2019,1,49.321874,-123.05633
E 15TH ST & ST GEORGES AVE,Casualty,February ,NORTH VANCOUVER,2019,1,49.32204,-123.069198
PEMBERTON AVE & W 15TH ST,Casualty,February ,NORTH VANCOUVER,2019,1,49.322044,-123.107785
LONSDALE AVE & W 16TH ST,Casualty,February ,NORTH VANCOUVER,2019,1,49.323097,-123.072295
E 19TH ST & ST GEORGES AVE,Casualty,February ,NORTH VANCOUVER,2019,1,49.326194,-123.069093
CHESTERFIELD AVE & W 20TH ST,Casualty,February ,NORTH VANCOUVER,2019,1,49.327296,-123.075359
CAPILANO RD & W 21ST ST,Casualty,February ,NORTH VANCOUVER,2019,1,49.328954,-123.118047
LYNN VALLEY RD & MORGAN RD,Casualty,February ,NORTH VANCOUVER,2019,1,49.32934,-123.05269
KIRKSTONE RD & LYNN VALLEY RD,Casualty,February ,NORTH VANCOUVER,2019,1,49.331271,-123.049041
E 27TH ST & FROMME RD & LYNN VALLEY RD,Casualty,February ,NORTH VANCOUVER,2019,1,49.334069,-123.04381
CAPILANO RD & PAISLEY RD,Casualty,February ,NORTH VANCOUVER,2019,1,49.336445,-123.115626
DELBROOK AVE & SILVERDALE PL,Casualty,February ,NORTH VANCOUVER,2019,1,49.343829,-123.085032
MAIN ST & MOUNTAIN HWY,Casualty,February ,NORTH VANCOUVER,2019,2,49.305167,-123.032063
LYTTON ST & MT SEYMOUR PKY,Casualty,February ,NORTH VANCOUVER,2019,2,49.315281,-123.00129
E 13TH ST & LONSDALE AVE & W 13TH ST,Casualty,February ,NORTH VANCOUVER,2019,2,49.319966,-123.072373
HAMILTON AVE & MARINE DR & W 16TH ST & TURNING LANE,Casualty,February ,NORTH VANCOUVER,2019,2,49.323112,-123.100131
W 23RD ST & W 24TH CLOSE & WESTVIEW DR,Casualty,February ,NORTH VANCOUVER,2019,2,49.330404,-123.088327
BOULEVARD CRES & E 21ST ST & GRAND BLVD OFFRAMP & GRAND BLVD ONRAMP & LYNN VALLEY RD & LYNN VALLEY RD ONRAMP & TRANS-CANADA HWY & WILLIAM AVE OFFRAMP & TURNING LANE,Casualty,February ,NORTH VANCOUVER,2019,3,49.328871,-123.053569
MOSQUITO CREEK BRIDGE & TRANS-CANADA HWY & WESTVIEW DR & WESTVIEW DR OFFRAMP & WESTVIEW DR ONRAMP & TURNING LANE,Casualty,February ,NORTH VANCOUVER,2019,9,49.33199,-123.088135
HARBOUR AVE & MAIN ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.305823,-123.034207
COTTON RD & E 3RD ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.308351,-123.045676
E 2ND ST & ST GEORGES AVE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.311335,-123.074771
E KEITH RD & LILLOOET RD & LILLOOET RD OFFRAMP & MT SEYMOUR PKY ONRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.311437,-123.028213
BROOKSBANK AVE & E KEITH RD & HEYWOOD ST & MOUNTAIN HWY,Casualty,January  ,NORTH VANCOUVER,2019,1,49.313299,-123.040514
E 3RD ST & LONSDALE AVE & W 3RD ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.31343,-123.077042
BERKLEY RD & MT SEYMOUR PKY & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.313697,-123.004763
CHESTERFIELD AVE & W 2ND ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.314018,-123.080955
DEEP COVE RD & MT SEYMOUR PKY & N DOLLARTON HWY,Casualty,January  ,NORTH VANCOUVER,2019,1,49.315838,-122.953567
FAIRWAY DR & MT SEYMOUR PKY,Casualty,January  ,NORTH VANCOUVER,2019,1,49.315876,-122.957335
PEMBERTON AVE & W 1ST ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.316992,-123.107926
E 12TH ST & LONSDALE AVE & W 12TH ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.318952,-123.072398
CHESTERFIELD AVE & W 12TH ST & W 8TH ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.319206,-123.07567
E 13TH ST & GRAND BLVD W,Casualty,January  ,NORTH VANCOUVER,2019,1,49.319815,-123.057599
E 13TH ST & ST GEORGES AVE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.319934,-123.069253
E 13TH ST & LONSDALE AVE & W 13TH ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.319966,-123.072373
BEWICKE AVE & MARINE DR & W 2ND LANE & W 3RD ST & W KEITH RD,Casualty,January  ,NORTH VANCOUVER,2019,1,49.319986,-123.0914
E 15TH ST & LONSDALE AVE & W 15TH ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.322069,-123.072318
LONSDALE AVE & W 16TH ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.323097,-123.072295
BOWSER AVE & MARINE DR,Casualty,January  ,NORTH VANCOUVER,2019,1,49.32392,-123.116151
CHESTERFIELD AVE & W 18TH ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.325212,-123.075395
CHESTERFIELD AVE & W 19TH ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.326259,-123.07539
CAPILANO RD & FULLERTON AVE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.326608,-123.11985
E 20TH ST & LONSDALE AVE & W 20TH ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.327252,-123.072188
E 21ST ST & LONSDALE AVE & W 21ST ST,Casualty,January  ,NORTH VANCOUVER,2019,1,49.328258,-123.072147
MOSQUITO CREEK BRIDGE & TRANS-CANADA HWY & WESTVIEW DR & WESTVIEW DR OFFRAMP & WESTVIEW DR ONRAMP & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.33199,-123.088135
BRAND ST & E 29TH ST & PRINCESS AVE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.335589,-123.058066
CAPILANO RD & PAISLEY RD,Casualty,January  ,NORTH VANCOUVER,2019,1,49.336445,-123.115626
BEWICKE AVE & W QUEENS RD,Casualty,January  ,NORTH VANCOUVER,2019,1,49.336579,-123.091054
DUVAL RD & WESTOVER RD,Casualty,January  ,NORTH VANCOUVER,2019,1,49.33908,-123.022206
E OSBORNE RD & REGENT AVE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.34011,-123.060655
LYNN VALLEY RD & PETERS RD,Casualty,January  ,NORTH VANCOUVER,2019,1,49.341733,-123.029444
DOVERCOURT RD & HOSKINS RD & LYNN VALLEY RD,Casualty,January  ,NORTH VANCOUVER,2019,1,49.342224,-123.028695
SUNSET BLVD & TALL TREE LANE,Casualty,January  ,NORTH VANCOUVER,2019,1,49.349001,-123.105774
MT SEYMOUR PKY & MT SEYMOUR RD & ROCHE POINT DR,Casualty,January  ,NORTH VANCOUVER,2019,2,49.315935,-122.968956
JONES AVE & W KEITH RD,Casualty,January  ,NORTH VANCOUVER,2019,2,49.31999,-123.081725
FELL AVE & MARINE DR & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2019,2,49.321159,-123.094648
W 23RD ST & W 24TH CLOSE & WESTVIEW DR,Casualty,January  ,NORTH VANCOUVER,2019,2,49.330404,-123.088327
E 25TH ST & E 25TH ST OFFRAMP & E 25TH ST ONRAMP & LONSDALE AVE & LONSDALE AVE OFFRAMP & LONSDALE AVE ONRAMP & TRANS-CANADA HWY & W 25TH ST & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2019,2,49.331967,-123.072107
MT SEYMOUR PKY & RIVERSIDE DR & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2019,3,49.311036,-123.014719
E 23RD ST & LONSDALE AVE & W 23RD ST,Casualty,January  ,NORTH VANCOUVER,2019,3,49.330237,-123.072132
BOWSER AVE & CAPILANO RD & CAPILANO RD OFFRAMP & CAPILANO RD ONRAMP & KEITH RD & TRANS-CANADA HWY & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2019,4,49.332551,-123.117171
MOUNTAIN HWY & MOUNTAIN HWY OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TURNING LANE,Casualty,January  ,NORTH VANCOUVER,2019,5,49.31564,-123.037579
HARBOUR AVE & RUPERT ST,Casualty,July     ,NORTH VANCOUVER,2019,1,49.307983,-123.034099
E 3RD ST & MOODY AVE,Casualty,July     ,NORTH VANCOUVER,2019,1,49.308505,-123.060243
E KEITH RD & SUTHERLAND AVE,Casualty,July     ,NORTH VANCOUVER,2019,1,49.31347,-123.054801
CHESTERFIELD AVE & W 3RD ST,Casualty,July     ,NORTH VANCOUVER,2019,1,49.314795,-123.080147
MT SEYMOUR PKY & MT SEYMOUR RD & ROCHE POINT DR,Casualty,July     ,NORTH VANCOUVER,2019,1,49.315935,-122.968956
PEMBERTON AVE & W 1ST ST,Casualty,July     ,NORTH VANCOUVER,2019,1,49.316992,-123.107926
LLOYD AVE & W 1ST ST,Casualty,July     ,NORTH VANCOUVER,2019,1,49.317595,-123.105113
CHESTERFIELD AVE & W 13TH ST,Casualty,July     ,NORTH VANCOUVER,2019,1,49.320023,-123.075547
E 15TH ST & LONSDALE AVE & W 15TH ST,Casualty,July     ,NORTH VANCOUVER,2019,1,49.322069,-123.072318
BOULEVARD CRES & E 19TH ST & GRAND BLVD E,Casualty,July     ,NORTH VANCOUVER,2019,1,49.32606,-123.056239
W 19TH ST & WESTVIEW DR,Casualty,July     ,NORTH VANCOUVER,2019,1,49.326389,-123.089468
E 23RD ST & ST GEORGES AVE,Casualty,July     ,NORTH VANCOUVER,2019,1,49.330199,-123.068991
E 23RD ST & LONSDALE AVE & W 23RD ST,Casualty,July     ,NORTH VANCOUVER,2019,1,49.330237,-123.072132
E 27TH ST & MOUNTAIN HWY,Casualty,July     ,NORTH VANCOUVER,2019,1,49.33335,-123.037883
DELBROOK AVE & W QUEENS RD & WESTVIEW DR,Casualty,July     ,NORTH VANCOUVER,2019,1,49.336565,-123.088076
CAPILANO CRES & CAPILANO RD & RIDGEWOOD DR,Casualty,July     ,NORTH VANCOUVER,2019,1,49.339494,-123.114523
E OSBORNE RD & ST GEORGES AVE,Casualty,July     ,NORTH VANCOUVER,2019,1,49.340146,-123.068572
MOUNTAIN HWY & MOUNTAIN HWY OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TURNING LANE,Casualty,July     ,NORTH VANCOUVER,2019,2,49.31564,-123.037579
FELL AVE & MARINE DR & TURNING LANE,Casualty,July     ,NORTH VANCOUVER,2019,2,49.321159,-123.094648
W 28TH ST & WESTVIEW CRES & WESTVIEW DR,Casualty,July     ,NORTH VANCOUVER,2019,2,49.335231,-123.088108
MARINE DR & PEMBERTON AVE,Casualty,July     ,NORTH VANCOUVER,2019,3,49.323845,-123.107769
CAPILANO RD & MARINE DR & MATHIAS RD & TURNING LANE,Casualty,July     ,NORTH VANCOUVER,2019,4,49.324292,-123.122442
BARROW ST & MOUNTAIN HWY,Casualty,June     ,NORTH VANCOUVER,2019,1,49.304602,-123.032081
MAIN ST & MOUNTAIN HWY,Casualty,June     ,NORTH VANCOUVER,2019,1,49.305167,-123.032063
AMHERST AVE & DOLLARTON HWY & OLD DOLLARTON RD,Casualty,June     ,NORTH VANCOUVER,2019,1,49.305382,-123.018888
DOLLARTON HWY & SLEIL-WAUTUTH RD,Casualty,June     ,NORTH VANCOUVER,2019,1,49.308375,-122.988504
E ESPLANADE & LONSDALE AVE & W ESPLANADE,Casualty,June     ,NORTH VANCOUVER,2019,1,49.311047,-123.079495
BROOKSBANK AVE & E KEITH RD & HEYWOOD ST & MOUNTAIN HWY,Casualty,June     ,NORTH VANCOUVER,2019,1,49.313299,-123.040514
MAHON AVE & W 4TH ST,Casualty,June     ,NORTH VANCOUVER,2019,1,49.316904,-123.082424
PEMBERTON AVE & WELCH ST,Casualty,June     ,NORTH VANCOUVER,2019,1,49.317544,-123.107919
FELL AVE & W 1ST ST,Casualty,June     ,NORTH VANCOUVER,2019,1,49.318039,-123.094731
E 12TH ST & ST GEORGES AVE,Casualty,June     ,NORTH VANCOUVER,2019,1,49.318929,-123.069278
BEWICKE AVE & MARINE DR & W 2ND LANE & W 3RD ST & W KEITH RD,Casualty,June     ,NORTH VANCOUVER,2019,1,49.319986,-123.0914
HANES AVE & W 3RD ST,Casualty,June     ,NORTH VANCOUVER,2019,1,49.320164,-123.098876
FELL AVE & MARINE DR & TURNING LANE,Casualty,June     ,NORTH VANCOUVER,2019,1,49.321159,-123.094648
E 15TH ST & LONSDALE AVE & W 15TH ST,Casualty,June     ,NORTH VANCOUVER,2019,1,49.322069,-123.072318
LLOYD AVE & MARINE DR,Casualty,June     ,NORTH VANCOUVER,2019,1,49.323815,-123.104899
E 17TH ST & GRAND BLVD W,Casualty,June     ,NORTH VANCOUVER,2019,1,49.32398,-123.057499
CHESTERFIELD AVE & W 19TH ST,Casualty,June     ,NORTH VANCOUVER,2019,1,49.326259,-123.07539
MOUNTAIN HWY & ROSS RD,Casualty,June     ,NORTH VANCOUVER,2019,1,49.336246,-123.037946
MOUNTAIN HWY & WELLINGTON DR,Casualty,June     ,NORTH VANCOUVER,2019,1,49.343424,-123.037957
DEMPSEY RD & LYNN VALLEY RD,Casualty,June     ,NORTH VANCOUVER,2019,1,49.347877,-123.022687
MOUNTAIN HWY & MOUNTAIN HWY OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TURNING LANE,Casualty,June     ,NORTH VANCOUVER,2019,2,49.31564,-123.037579
E 21ST ST & LONSDALE AVE & W 21ST ST,Casualty,June     ,NORTH VANCOUVER,2019,2,49.328258,-123.072147
DOLLARTON HWY & DOLLARTON HWY OFFRAMP & DOLLARTON HWY ONRAMP & IRONWORKERS MEMORIAL BRIDGE & MAIN ST & MAIN ST OFFRAMP & MAIN ST ONRAMP & OXFORD ST & PHIBBS EXCHANGE & TRANS-CANADA HWY & EMERGENCY LANE & HIGHWAY RAMP & TURNING LANE,Property Damage Only,June     ,NORTH VANCOUVER,2020,12,49.304852,-123.027413
BROOKSBANK AVE & E 5TH ST,Property Damage Only,March    ,NORTH VANCOUVER,2020,1,49.310309,-123.040428
